Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global
5,0.1,85,0.011764705882352941,12,12,8,15,4,0.3333333333333333,3,0.25,0.041666666666666664
5,0.1,95,0.010526315789473684,12,12,7,15,5,0.4166666666666667,3,0.25,0.08333333333333333
5,0.1,115,0.008695652173913044,12,12,10,13,2,0.16666666666666666,1,0.08333333333333333,0.041666666666666664
5,0.1,127,0.007874015748031496,12,12,8,13,4,0.3333333333333333,1,0.08333333333333333,0.125
5,0.1,135,0.007407407407407408,12,12,8,13,4,0.3333333333333333,1,0.08333333333333333,0.125
5,0.2,85,0.011764705882352941,12,12,8,15,4,0.3333333333333333,3,0.25,0.041666666666666664
5,0.2,95,0.010526315789473684,12,12,7,15,5,0.4166666666666667,3,0.25,0.08333333333333333
5,0.2,115,0.008695652173913044,12,12,10,13,2,0.16666666666666666,1,0.08333333333333333,0.041666666666666664
5,0.2,127,0.007874015748031496,12,12,8,13,4,0.3333333333333333,1,0.08333333333333333,0.125
5,0.2,135,0.007407407407407408,12,12,8,13,4,0.3333333333333333,1,0.08333333333333333,0.125
5,0.3,85,0.011764705882352941,12,12,6,14,6,0.5,2,0.16666666666666666,0.16666666666666666
5,0.3,95,0.010526315789473684,12,12,10,14,2,0.16666666666666666,2,0.16666666666666666,0.0
5,0.3,115,0.008695652173913044,12,12,8,16,4,0.3333333333333333,4,0.3333333333333333,0.0
5,0.3,127,0.007874015748031496,12,12,6,14,6,0.5,2,0.16666666666666666,0.16666666666666666
5,0.3,135,0.007407407407407408,12,12,5,14,7,0.5833333333333334,2,0.16666666666666666,0.20833333333333334
5,0.4,85,0.011764705882352941,12,12,7,15,5,0.4166666666666667,3,0.25,0.08333333333333333
5,0.4,95,0.010526315789473684,12,12,7,13,5,0.4166666666666667,1,0.08333333333333333,0.16666666666666666
5,0.4,115,0.008695652173913044,12,12,8,15,4,0.3333333333333333,3,0.25,0.041666666666666664
5,0.4,127,0.007874015748031496,12,12,7,13,5,0.4166666666666667,1,0.08333333333333333,0.16666666666666666
5,0.4,135,0.007407407407407408,12,12,6,13,6,0.5,1,0.08333333333333333,0.20833333333333334
15,0.1,85,0.011764705882352941,12,12,9,14,3,0.25,2,0.16666666666666666,0.041666666666666664
15,0.1,95,0.010526315789473684,12,12,7,15,5,0.4166666666666667,3,0.25,0.08333333333333333
15,0.1,115,0.008695652173913044,12,12,7,16,5,0.4166666666666667,4,0.3333333333333333,0.041666666666666664
15,0.1,127,0.007874015748031496,12,12,9,15,3,0.25,3,0.25,0.0
15,0.1,135,0.007407407407407408,12,12,8,17,4,0.3333333333333333,5,0.4166666666666667,0.041666666666666664
15,0.2,85,0.011764705882352941,12,12,9,14,3,0.25,2,0.16666666666666666,0.041666666666666664
15,0.2,95,0.010526315789473684,12,12,7,15,5,0.4166666666666667,3,0.25,0.08333333333333333
15,0.2,115,0.008695652173913044,12,12,7,16,5,0.4166666666666667,4,0.3333333333333333,0.041666666666666664
15,0.2,127,0.007874015748031496,12,12,9,15,3,0.25,3,0.25,0.0
15,0.2,135,0.007407407407407408,12,12,8,17,4,0.3333333333333333,5,0.4166666666666667,0.041666666666666664
15,0.3,85,0.011764705882352941,12,12,8,14,4,0.3333333333333333,2,0.16666666666666666,0.08333333333333333
15,0.3,95,0.010526315789473684,12,12,8,14,4,0.3333333333333333,2,0.16666666666666666,0.08333333333333333
15,0.3,115,0.008695652173913044,12,12,7,15,5,0.4166666666666667,3,0.25,0.08333333333333333
15,0.3,127,0.007874015748031496,12,12,8,15,4,0.3333333333333333,3,0.25,0.041666666666666664
15,0.3,135,0.007407407407407408,12,12,7,16,5,0.4166666666666667,4,0.3333333333333333,0.041666666666666664
15,0.4,85,0.011764705882352941,12,12,7,13,5,0.4166666666666667,1,0.08333333333333333,0.16666666666666666
15,0.4,95,0.010526315789473684,12,12,9,14,3,0.25,2,0.16666666666666666,0.041666666666666664
15,0.4,115,0.008695652173913044,12,12,8,15,4,0.3333333333333333,3,0.25,0.041666666666666664
15,0.4,127,0.007874015748031496,12,12,9,15,3,0.25,3,0.25,0.0
15,0.4,135,0.007407407407407408,12,12,8,15,4,0.3333333333333333,3,0.25,0.041666666666666664
20,0.1,85,0.011764705882352941,12,12,7,14,5,0.4166666666666667,2,0.16666666666666666,0.125
20,0.1,95,0.010526315789473684,12,12,8,11,4,0.3333333333333333,1,0.08333333333333333,0.20833333333333334
20,0.1,115,0.008695652173913044,12,12,5,12,7,0.5833333333333334,0,0.0,0.2916666666666667
20,0.1,127,0.007874015748031496,12,12,7,10,5,0.4166666666666667,2,0.16666666666666666,0.2916666666666667
20,0.1,135,0.007407407407407408,12,12,7,10,5,0.4166666666666667,2,0.16666666666666666,0.2916666666666667
20,0.2,85,0.011764705882352941,12,12,7,14,5,0.4166666666666667,2,0.16666666666666666,0.125
20,0.2,95,0.010526315789473684,12,12,8,11,4,0.3333333333333333,1,0.08333333333333333,0.20833333333333334
20,0.2,115,0.008695652173913044,12,12,5,12,7,0.5833333333333334,0,0.0,0.2916666666666667
20,0.2,127,0.007874015748031496,12,12,7,10,5,0.4166666666666667,2,0.16666666666666666,0.2916666666666667
20,0.2,135,0.007407407407407408,12,12,7,10,5,0.4166666666666667,2,0.16666666666666666,0.2916666666666667
20,0.3,85,0.011764705882352941,12,12,7,14,5,0.4166666666666667,2,0.16666666666666666,0.125
20,0.3,95,0.010526315789473684,12,12,8,10,4,0.3333333333333333,2,0.16666666666666666,0.25
20,0.3,115,0.008695652173913044,12,12,5,12,7,0.5833333333333334,0,0.0,0.2916666666666667
20,0.3,127,0.007874015748031496,12,12,6,11,6,0.5,1,0.08333333333333333,0.2916666666666667
20,0.3,135,0.007407407407407408,12,12,6,11,6,0.5,1,0.08333333333333333,0.2916666666666667
20,0.4,85,0.011764705882352941,12,12,4,12,8,0.6666666666666666,0,0.0,0.3333333333333333
20,0.4,95,0.010526315789473684,12,12,7,8,5,0.4166666666666667,4,0.3333333333333333,0.375
20,0.4,115,0.008695652173913044,12,12,5,12,7,0.5833333333333334,0,0.0,0.2916666666666667
20,0.4,127,0.007874015748031496,12,12,8,11,4,0.3333333333333333,1,0.08333333333333333,0.20833333333333334
20,0.4,135,0.007407407407407408,12,12,8,10,4,0.3333333333333333,2,0.16666666666666666,0.25
25,0.1,85,0.011764705882352941,12,12,6,13,6,0.5,1,0.08333333333333333,0.20833333333333334
25,0.1,95,0.010526315789473684,12,12,9,11,3,0.25,1,0.08333333333333333,0.16666666666666666
25,0.1,115,0.008695652173913044,12,12,10,15,2,0.16666666666666666,3,0.25,0.041666666666666664
25,0.1,127,0.007874015748031496,12,12,9,13,3,0.25,1,0.08333333333333333,0.08333333333333333
25,0.1,135,0.007407407407407408,12,12,8,14,4,0.3333333333333333,2,0.16666666666666666,0.08333333333333333
25,0.2,85,0.011764705882352941,12,12,6,13,6,0.5,1,0.08333333333333333,0.20833333333333334
25,0.2,95,0.010526315789473684,12,12,9,11,3,0.25,1,0.08333333333333333,0.16666666666666666
25,0.2,115,0.008695652173913044,12,12,10,15,2,0.16666666666666666,3,0.25,0.041666666666666664
25,0.2,127,0.007874015748031496,12,12,9,13,3,0.25,1,0.08333333333333333,0.08333333333333333
25,0.2,135,0.007407407407407408,12,12,8,14,4,0.3333333333333333,2,0.16666666666666666,0.08333333333333333
25,0.3,85,0.011764705882352941,12,12,6,13,6,0.5,1,0.08333333333333333,0.20833333333333334
25,0.3,95,0.010526315789473684,12,12,8,11,4,0.3333333333333333,1,0.08333333333333333,0.20833333333333334
25,0.3,115,0.008695652173913044,12,12,8,16,4,0.3333333333333333,4,0.3333333333333333,0.0
25,0.3,127,0.007874015748031496,12,12,9,13,3,0.25,1,0.08333333333333333,0.08333333333333333
25,0.3,135,0.007407407407407408,12,12,7,14,5,0.4166666666666667,2,0.16666666666666666,0.125
25,0.4,85,0.011764705882352941,12,12,6,11,6,0.5,1,0.08333333333333333,0.2916666666666667
25,0.4,95,0.010526315789473684,12,12,8,10,4,0.3333333333333333,2,0.16666666666666666,0.25
25,0.4,115,0.008695652173913044,12,12,7,16,5,0.4166666666666667,4,0.3333333333333333,0.041666666666666664
25,0.4,127,0.007874015748031496,12,12,6,14,6,0.5,2,0.16666666666666666,0.16666666666666666
25,0.4,135,0.007407407407407408,12,12,7,11,5,0.4166666666666667,1,0.08333333333333333,0.25
30,0.1,85,0.011764705882352941,12,12,9,11,3,0.25,1,0.08333333333333333,0.16666666666666666
30,0.1,95,0.010526315789473684,12,12,9,11,3,0.25,1,0.08333333333333333,0.16666666666666666
30,0.1,115,0.008695652173913044,12,12,7,12,5,0.4166666666666667,0,0.0,0.20833333333333334
30,0.1,127,0.007874015748031496,12,12,9,10,3,0.25,2,0.16666666666666666,0.20833333333333334
30,0.1,135,0.007407407407407408,12,12,9,10,3,0.25,2,0.16666666666666666,0.20833333333333334
30,0.2,85,0.011764705882352941,12,12,9,11,3,0.25,1,0.08333333333333333,0.16666666666666666
30,0.2,95,0.010526315789473684,12,12,9,11,3,0.25,1,0.08333333333333333,0.16666666666666666
30,0.2,115,0.008695652173913044,12,12,7,12,5,0.4166666666666667,0,0.0,0.20833333333333334
30,0.2,127,0.007874015748031496,12,12,9,10,3,0.25,2,0.16666666666666666,0.20833333333333334
30,0.2,135,0.007407407407407408,12,12,9,10,3,0.25,2,0.16666666666666666,0.20833333333333334
30,0.3,85,0.011764705882352941,12,12,10,11,2,0.16666666666666666,1,0.08333333333333333,0.125
30,0.3,95,0.010526315789473684,12,12,10,12,2,0.16666666666666666,0,0.0,0.08333333333333333
30,0.3,115,0.008695652173913044,12,12,7,11,5,0.4166666666666667,1,0.08333333333333333,0.25
30,0.3,127,0.007874015748031496,12,12,8,9,4,0.3333333333333333,3,0.25,0.2916666666666667
30,0.3,135,0.007407407407407408,12,12,8,8,4,0.3333333333333333,4,0.3333333333333333,0.3333333333333333
30,0.4,85,0.011764705882352941,12,12,8,10,4,0.3333333333333333,2,0.16666666666666666,0.25
30,0.4,95,0.010526315789473684,12,12,10,9,2,0.16666666666666666,3,0.25,0.20833333333333334
30,0.4,115,0.008695652173913044,12,12,8,11,4,0.3333333333333333,1,0.08333333333333333,0.20833333333333334
30,0.4,127,0.007874015748031496,12,12,9,9,3,0.25,3,0.25,0.25
30,0.4,135,0.007407407407407408,12,12,9,8,3,0.25,4,0.3333333333333333,0.2916666666666667
